name,Salaries,yearID
Atlanta Braves,755157000,1985
Baltimore Orioles,728324856,1985
Boston Americans,76282920,1985
Boston Red Sox,1187834040,1985
California Angels,461692608,1985
Chicago Colts,101623336,1985
Chicago Cubs ,1448132538,1985
Chicago Orphans,63514585,1985
Chicago White Sox,1142156648,1985
Chicago White Stockings,177840838,1985
Cincinnati Redlegs,50159502,1985
Cincinnati Reds,1011549957,1985
Cleveland Blues, 6551666,1985
Cleveland Bronchos, 6551666,1985
Cleveland Indians,668269932,1985
Cleveland Naps,78619992,1985
Detroit Tigers,1200384588,1985
Houston Astros,519638652,1985
Houston Colt .45's,29979153,1985
Kansas City Royals,447416592,1985
Los Angeles Dodgers,647107103,1985
Milwaukee Brewers,315954996,1985
Minnesota Twins,322829976,1985
Montreal Expos,340925976,1985
New York Highlanders,142382040,1985
New York Mets,595911910,1985
New York Yankees,1480773216,1985
Oakland Athletics,443871694,1985
Philadelphia Blue Jays,20249932,1985
Philadelphia Phillies,1265620750,1985
Philadelphia Quakers,70874762,1985
Pittsburg Alleghenys,36910000,1985
Pittsburgh Pirates,1162665000,1985
San Diego Padres,529755984,1985
San Francisco Giants,485081126,1985
Seattle Mariners,184520000,1985
St. Louis Browns,82719581,1985
St. Louis Cardinals,1382598711,1985
St. Louis Perfectos,11817083,1985
Texas Rangers,345442500,1985
Toronto Blue Jays,352502000,1985
Atlanta Braves,872242086,1986
Baltimore Orioles,819079254,1986
Boston Americans,100815673,1986
Boston Red Sox,1569844051,1986
California Angels,461672256,1986
Chicago Colts,137665320,1986
Chicago Cubs ,1961730810,1986
Chicago Orphans,86040825,1986
Chicago White Sox,1208583004,1986
Chicago White Stockings,240914310,1986
Cincinnati Redlegs,71438328,1986
Cincinnati Reds,1440672948,1986
Cleveland Blues, 7809500,1986
Cleveland Bronchos, 7809500,1986
Cleveland Indians,796569000,1986
Cleveland Naps,93714000,1986
Detroit Tigers,1430942824,1986
Houston Astros,513410352,1986
Houston Colt .45's,29619828,1986
Kansas City Royals,626097504,1986
Los Angeles Dodgers,879912784,1986
Milwaukee Brewers,278421976,1986
Minnesota Twins,489897352,1986
